depMapID,Name,BMGC_Disease_ID,BMGC_Disease_name,Pathology,Histology,type,PATHOLOGIST_ANNOTATION,tcga_code,id,xref_NCIt_name,xref_ORDO_name,depmap_match_1_disease,depmap_match_1_disease_name,depmap_match_2_disease,depmap_match_2_disease_name,ncit_match_1_disease,ncit_match_1_disease_name,ncit_match_2_disease,ncit_match_2_disease_name,ordo_match_1_disease,ordo_match_1_disease_name,ordo_match_2_disease,ordo_match_2_disease_name
ACH-000191,BHT-101,BMGC_DS21147,"thyroid carcinoma, anaplastic",metastasis,carcinoma,thyroid,Thyroid:Carcinoma,THCA,CVCL_1085,Thyroid gland anaplastic carcinoma,Anaplastic thyroid carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS21147,"Thyroid Carcinoma, Anaplastic",BMGC_DS04082,follicular thyroid carcinoma | thyroid gland follicular carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS04082,follicular thyroid carcinoma | thyroid gland follicular carcinoma
ACH-000192,MFE-280,BMGC_DS05364,endometrial adenocarcinoma,primary,carcinoma,endometrium,Endometrium:Carcinoma,UCEC,,,,,,,,,,,,,,,
ACH-000193,KARPAS-620,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000196,HCC1599,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000197,TALL-1,BMGC_DS20796,"leukemia-lymphoma, adult t-cell",primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,,,,BMGC_DS20796,"Leukemia-Lymphoma, Adult T-Cell",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20323,Fever,BMGC_DS22241,,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000198,EOL-1,BMGC_DS06075,chronic eosinophilic leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000200,NMC-G1,BMGC_DS20147,astrocytoma,primary,glioma,glioma,CNS:Glioma,LGG,,,,,,,,,,,,,,,
ACH-000201,A-204,BMGC_DS04066,embryonal rhabdomyosarcoma,primary,rhabdoid_tumour,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,,,,,,,,,,,,,,,
ACH-000204,LP-1,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000207,Detroit 562,BMGC_DS08360,pharyngeal squamous cell carcinoma,metastasis,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000210,CADO-ES1,BMGC_DS06886,ewing sarcoma,metastasis,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,,,,,,,,,,,,,,,
ACH-000211,Daoy,BMGC_DS01553,medulloblastoma,primary,primitive_neuroectodermal_tumour-medulloblastoma,medulloblastoma,CNS:Medulloblastoma,MB,,,,,,,,,,,,,,,
ACH-000212,CAL-120,BMGC_DS07015,breast carcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000213,HUP-T4,BMGC_DS05421,pancreatic adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000217,JHH-6,BMGC_DS05326,adult hepatocellular carcinoma,primary,carcinoma,liver,Liver:HCC,LIHC,,,,,,,,,,,,,,,
ACH-000218,PL-21,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000219,A-375,BMGC_DS04117,amelanotic melanoma,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000221,SNU-398,BMGC_DS05326,adult hepatocellular carcinoma,primary,carcinoma,liver,Liver:HCC,LIHC,,,,,,,,,,,,,,,
ACH-000222,AsPC-1,BMGC_DS08986,pancreatic ductal adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000223,HCC1937,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000225,ECC12,BMGC_DS08739,gastric small cell carcinoma,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000226,SUP-M2,BMGC_DS08403,alk-positive anaplastic large cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,,,,,,,,,,,,,,,
ACH-000227,KP-N-YN,BMGC_DS06911,adrenal gland neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000228,BICR 31,BMGC_DS06143,tongue squamous cell carcinoma,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000231,KALS-1,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma,LGG,,,,,,,,,,,,,,,
ACH-000232,U-251 MG,BMGC_DS20147,astrocytoma,primary,glioma,glioma,CNS:Glioma,GBM,,,,,,,,,,,,,,,
ACH-000233,DEL,BMGC_DS08403,alk-positive anaplastic large cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,,,,,,,,,,,,,,,
ACH-000235,Panc 04.03,BMGC_DS08986,pancreatic ductal adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000236,SW1417,BMGC_DS05624,colon adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000238,SCC-4,BMGC_DS06143,tongue squamous cell carcinoma,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000242,RT4,BMGC_DS07053,bladder carcinoma,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,,,,,,,,,,,,,,,
ACH-000243,DAN-G,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000244,DK-MG,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000245,BL-41,BMGC_DS00331,burkitt lymphoma,primary,lymphoid_neoplasm,lymphoma_Burkitt,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000247,OCUM-1,BMGC_DS09085,gastric signet ring cell adenocarcinoma,primary,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000248,AU565,BMGC_DS07814,breast adenocarcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000249,CL-11,BMGC_DS05624,colon adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000250,KMRC-20,BMGC_DS05359,clear cell renal cell carcinoma,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
ACH-000252,LS1034,BMGC_DS08517,cecum adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000254,SCC-15,BMGC_DS06143,tongue squamous cell carcinoma,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000257,COR-L279,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000258,DU4475,BMGC_DS07015,breast carcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000259,KELLY,BMGC_DS01722,neuroblastoma,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000260,SK-N-AS,BMGC_DS01722,neuroblastoma,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000263,KASUMI-1,BMGC_DS12540,acute myeloblastic leukemia with maturation,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000264,Calu-6,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,LUAD,,,,,,,,,,,,,,,
ACH-000265,KP4,BMGC_DS04293,pancreatic carcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000267,HDLM-2,BMGC_DS20405,hodgkin disease | hodgkins lymphoma,metastasis,lymphoid_neoplasm,lymphoma_Hodgkin,Lymphoma:Hodgkin,,CVCL_0009,Hodgkin lymphoma,Hodgkin lymphoma,BMGC_DS20405,Hodgkin Disease | Hodgkins lymphoma,BMGC_DS20499,"Lymphoma, Non-Hodgkin",BMGC_DS20405,Hodgkin Disease | Hodgkins lymphoma,BMGC_DS20499,"Lymphoma, Non-Hodgkin",BMGC_DS20405,Hodgkin Disease | Hodgkins lymphoma,BMGC_DS20499,"Lymphoma, Non-Hodgkin"
ACH-000269,AM-38,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000270,HPAC,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000271,SU-DHL-10,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000273,SF539,BMGC_DS04111,gliosarcoma,primary,glioma,glioma,CNS:Glioma_HighGrade,LGG,,,,,,,,,,,,,,,
ACH-000276,HCC38,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000277,HCC1419,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000281,KP-2,BMGC_DS04293,pancreatic carcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000282,NCI-H1755,BMGC_DS02944,lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000287,NU-DUL-1,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000288,BT-549,BMGC_DS07814,breast adenocarcinoma,primary,carcinoma,breast,,BRCA,CVCL_1092,Invasive breast carcinoma of no special type,,BMGC_DS20210,"Hypoxia, Brain",BMGC_DS20677,"Sarcoma, Ewing",BMGC_DS04087,breast lobular carcinoma | invasive lobular carcinoma,BMGC_DS09098,breast papillary carcinoma | solid papillary breast carcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000290,NCI-H209,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000291,OV-90,BMGC_DS07934,ovarian adenocarcinoma,metastasis,carcinoma,ovary,Ovary:Carcinoma,OV,,,,,,,,,,,,,,,
ACH-000292,NCI-H841,BMGC_DS21085,small cell lung carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,CVCL_1595,Thoracic SMARCA4-deficient undifferentiated tumor,,BMGC_DS20198,"Carcinoma, Non-Small-Cell Lung",BMGC_DS08921,lung mixed small cell and squamous cell carcinoma,BMGC_DS06035,undifferentiated ovarian carcinoma,BMGC_DS08695,embryonal extrahepatic bile duct rhabdomyosarcoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000293,KLE,BMGC_DS09171,endometrial adenocarcinoma | endometrial endometrioid adenocarcinoma,primary,carcinoma,endometrium,Endometrium:Carcinoma,UCEC,CVCL_1329,Type II endometrial adenocarcinoma,,BMGC_DS06034,endometrioid ovary carcinoma | ovarian endometrioid adenocarcinoma,BMGC_DS09171,endometrial adenocarcinoma | endometrial endometrioid adenocarcinoma,BMGC_DS08117,"endometrial endometrioid adenocarcinoma, secretory variant | secretory uterine corpus endometrioid adenocarcinoma",BMGC_DS09172,endometrial endometrioid adenocarcinoma with spindled epithelial cells | sarcomatoid uterine corpus endometrioid adenocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000294,NB-4,BMGC_DS01416,acute promyelocytic leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000295,EM-2,BMGC_DS01409,chronic myeloid leukemia,primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,,,,,,,,,,,,,,,
ACH-000298,NCI-H2029,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000301,LAMA-84,BMGC_DS01409,"chronic myelogenous leukemia, bcr-abl1 positive",primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,,,,,,,,,,,,,,,
ACH-000303,SNU-5,BMGC_DS05289,gastric adenocarcinoma,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000304,WM-115,BMGC_DS01559,melanoma,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000305,EC-GI-10,BMGC_DS05334,esophageal squamous cell carcinoma,primary,carcinoma,esophagus,Oesophagus:Carcinoma,ESCA,,,,,,,,,,,,,,,
ACH-000308,EFO-21,BMGC_DS05345,ovarian serous cystadenocarcinoma,metastasis,carcinoma,ovary,Ovary:Carcinoma,OV,,,,,,,,,,,,,,,
ACH-000309,SK-LU-1,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000311,NCI-H2122,BMGC_DS02944,lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000315,KARPAS-422,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000318,TE-10,BMGC_DS05334,esophageal squamous cell carcinoma,primary,carcinoma,esophagus,Oesophagus:Carcinoma,ESCA,,,,,,,,,,,,,,,
ACH-000319,MPP 89,BMGC_DS09237,pleural mesothelioma,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,,,,,,,,,,,,,,,
ACH-000320,PSN1,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000322,HT-144,BMGC_DS01559,melanoma,metastasis,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000323,42-MG-BA,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000326,JURL-MK1,BMGC_DS01409,"chronic myelogenous leukemia, bcr-abl1 positive",primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,,,,,,,,,,,,,,,
ACH-000327,NCI-H1395,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000329,CCF-STTG1,BMGC_DS20147,astrocytoma,primary,glioma,glioma,CNS:Glioma,GBM,,,,,,,,,,,,,,,
ACH-000330,EFM-19,BMGC_DS08035,breast ductal carcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000332,YAPC,BMGC_DS04293,pancreatic carcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000334,DB,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000335,MSTO-211H,BMGC_DS09237,pleural mesothelioma,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,,,,,,,,,,,,,,,
ACH-000336,OCI-AML3,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000338,SR-786,BMGC_DS08403,alk-positive anaplastic large cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,,,,,,,,,,,,,,,
ACH-000341,SK-N-FI,BMGC_DS01722,neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000343,NCI-H522,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000345,KP-N-RT-BM-1,BMGC_DS06911,adrenal gland neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000346,JVM-3,BMGC_DS01415,prolymphocytic leukemia,primary,lymphoid_neoplasm,lymphoma_other,Leukemia:CLL,CLL,CVCL_1320,B-cell prolymphocytic leukemia,B-cell prolymphocytic leukemia,BMGC_DS20477,"Leukemia, Lymphoid",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS09114,splenic manifestation of prolymphocytic leukemia,BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS09114,splenic manifestation of prolymphocytic leukemia,BMGC_DS05322,T-cell adult acute lymphocytic leukemia
ACH-000347,QGP-1,BMGC_DS09199,pancreatic somatostatinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000348,RPMI-7951,BMGC_DS01559,melanoma,metastasis,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000349,HCC1500,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000350,COLO-678,BMGC_DS07050,colon carcinoma,metastasis,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000351,MKN1,BMGC_DS08728,gastric adenosquamous carcinoma,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000352,HCC1428,BMGC_DS07814,breast adenocarcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000353,TE-15,BMGC_DS05334,esophageal squamous cell carcinoma,primary,carcinoma,esophagus,Oesophagus:Carcinoma,ESCA,,,,,,,,,,,,,,,
ACH-000354,Capan-1,BMGC_DS08986,pancreatic ductal adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000355,NCI-H82,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000356,MKN-45,BMGC_DS05289,gastric adenocarcinoma,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000357,JeKo-1,BMGC_DS07533,mantle cell lymphoma,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000358,NCI-H69,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000359,MG-63,BMGC_DS01819,osteosarcoma,primary,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,SARC,,,,,,,,,,,,,,,
ACH-000360,NCI-H508,BMGC_DS08517,cecum adenocarcinoma,metastasis,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000361,SK-HEP-1,BMGC_DS01460,liver cancer,metastasis,carcinoma,liver,Liver:Carcinoma_Adeno,LIHC,CVCL_0525,Liver and intrahepatic bile duct epithelial neoplasm,,BMGC_DS20395,"Carcinoma, Hepatocellular",BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS05991,biliary tract benign neoplasm | extrahepatic bile duct neoplasm,BMGC_DS09546,sarcomatous intrahepatic cholangiocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000362,MOLM-13,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000363,SK-MM-2,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000364,U-2 OS,BMGC_DS01819,osteosarcoma,primary,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,SARC,,,,,,,,,,,,,,,
ACH-000365,SU-DHL-4,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000366,SK-N-DZ,BMGC_DS01722,neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000367,NCI-H226,BMGC_DS09237,pleural mesothelioma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Squamous,LUSC,,,,,,,,,,,,,,,
ACH-000369,MOLM-16,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000371,RL,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000372,P12-ICHIKAWA,BMGC_DS20796,"leukemia-lymphoma, adult t-cell",primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,CVCL_1630,Childhood T acute lymphoblastic leukemia,Precursor T-cell acute lymphoblastic leukemia,BMGC_DS20796,"Leukemia-Lymphoma, Adult T-Cell",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS20794,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia
ACH-000373,SKM-1,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000374,HCC1143,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000375,G-402,BMGC_DS01330,kidney neoplasm,primary,rhabdoid_tumour,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,,,,,,,,,,,,,,,
ACH-000376,SF-295,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000378,NCI-H647,BMGC_DS20198,"carcinoma, non-small-cell lung",metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_1574,Lung adenosquamous carcinoma,,BMGC_DS08676,esophageal melanoma | esophagus melanoma,BMGC_DS07987,esophageal small cell neuroendocrine carcinoma | esophagus small cell carcinoma,BMGC_DS20073,Esophageal Squamous Cell Carcinoma,BMGC_DS05505,Schneiderian carcinoma | non-keratinizing sinonasal squamous cell carcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000379,NCI-H1781,BMGC_DS00367,minimally invasive lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000380,KMS-12-BM,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000381,T84,BMGC_DS05624,colon adenocarcinoma,metastasis,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000384,SW 780,BMGC_DS07053,bladder carcinoma,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,,,,,,,,,,,,,,,
ACH-000386,KG-1,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000389,H4,BMGC_DS20147,astrocytoma,primary,glioma,glioma,CNS:Glioma,LGG,,,,,,,,,,,,,,,
ACH-000391,MHH-ES-1,BMGC_DS06886,ewing sarcoma,metastasis,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,,,,,,,,,,,,,,,
ACH-000392,Calu-3,BMGC_DS02944,lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000394,NCI-H2081,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000395,NCI-H520,BMGC_DS02872,lung squamous cell carcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Squamous,LUSC,,,,,,,,,,,,,,,
ACH-000396,J82,BMGC_DS07053,bladder carcinoma,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,,,,,,,,,,,,,,,
ACH-000399,NCI-H2196,BMGC_DS02887,lung small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000400,SK-CO-1,BMGC_DS05624,colon adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000401,COLO-800,BMGC_DS02930,cutaneous melanoma,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000403,NCI-H747,BMGC_DS08517,cecum adenocarcinoma,metastasis,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000408,TE-5,BMGC_DS05334,esophageal squamous cell carcinoma,primary,carcinoma,esophagus,Oesophagus:Carcinoma,ESCA,,,,,,,,,,,,,,,
ACH-000410,Saos-2,BMGC_DS01819,osteosarcoma,primary,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,SARC,,,,,,,,,,,,,,,
ACH-000411,769-P,BMGC_DS00375,renal cell carcinoma,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
